target_formula,precursor_formulas
((BaTiO3)),"[['BaTiO3']]"
((CH3)4N)4(SiW12O40),"[['(CH3)4NOH', 'H4SiW12O40']]"
((K0.5Na0.5)0.94Li0.06)0.97La0.01(Nb0.9Ta0.1)O3,"[['Ta2O5', 'Li2CO3', 'La2O3', 'Na2CO3', 'K2CO3', 'Nb2O5']]"
((Na0.535K0.480)0.942Li0.058)(Nb0.90Ta0.10)O3,"[['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3']]"
((Na0.535K0.480)0.966Li0.058)(Nb0.90Ta0.10)O3,"[['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3']]"
((Na0.5K0.5)0.97Li0.03)(Nb0.8Ta0.2)O3,"[['Ta2O5', 'Na2CO3', 'Li2C2O4', 'Nb2O5', 'K2CO3']]"
((Na0.7K0.2Li0.1)0.5Bi0.5)TiO3,"[['Li2CO3', 'Bi2O3', 'Na2CO3', 'K2CO3', 'TiO2']]"
((Ti0.47)0.985Nb0.015)O3,"[['Nb2O5', 'TiO2']]"
((ZrO2)0.92(Y2O3)0.08)0.85(TiO2)0.15,"[['ZrO2', 'Y2O3', 'TiO2']]"
((ZrO2)0.92(Y2O3)0.08)0.90(TiO2)0.10,"[['ZrO2', 'Y2O3', 'TiO2']]"
(Ag0.5Bi0.5)(Mo0.5W0.5)O4,"[['WO3', 'Bi2O3', 'MoO3', 'Ag2CO3']]"
(AgI)0.5(LiPO3)0.5,"[['Li2CO3', 'AgI', 'NH4H2PO4']]"
(Al2O3)0.05(CeO2)0.95,"[['CeO2', 'Al2O3'], ['CeO2', 'Al2O3']]"
(Al2O3)0.9(CeO2)0.1,"[['CeO2', 'Al2O3'], ['CeO2', 'Al2O3']]"
(Am0.024Pu0.311U0.665)O2,"[['(Pu0.93)O2', 'Am0.07', 'UO2']]"
(Ba)0.3MnO3,"[['Ba(NO3)2', 'Mn(NO3)2'], ['Ba(NO3)2', 'Mn(NO3)2']]"
(Ba0.02Sr0.98)TiO3,"[['SrCO3', 'BaCO3', 'TiO2']]"
(Ba0.24Ca0.76)2SiO4,"[['SiO2', 'BaCO3', 'CaCO3']]"
(Ba0.39Sr0.61)6Ti2Nb8O30,"[['SrCO3', 'BaCO3', 'TiO2', 'Nb2O5']]"
(Ba0.4Sr0.6)TiO3,"[['SrCO3', 'BaCO3', 'TiO2']]"
(Ba0.5Sr0.5)6Mn4Cr2O17,"[['SrCO3', 'BaCO3', 'Cr2O3', 'MnO2']]"
(Ba0.5Sr0.5)TiO3,"[['SrCO3', 'BaCO3', 'TiO2']]"
(Ba0.65Ca0.35)2SiO4,"[['SiO2', 'BaCO3', 'CaCO3']]"
(Ba0.65Sr0.35)TiO3,"[['Ba(CH3COO)2', 'Sr(CH3COO)2', 'Ti(C4H9O)4'], ['Ba(CH3COO)2', 'Sr(CH3COO)2', 'Ti(C4H9O)4']]"
(Ba0.69Pb0.31)TiO3,"[['PbO', 'TiO2', 'BaCO3']]"
(Ba0.6Ca0.4)SiO3,"[['SiO2', 'BaCO3', 'CaCO3']]"
(Ba0.7368Ca0.1Sr0.16Sb0.0032)Ti1.01O3,"[['SrCO3', 'CaCO3', 'TiO2', 'BaCO3', 'Sb2O3']]"
(Ba0.7Ca0.3)TiO3,"[['CaCO3', 'TiO2', 'BaCO3']]"
(Ba0.7Sr0.3)TiO3,"[['SrCO3', 'BaCO3', 'TiO2']]"
(Ba0.85Ca0.15)(Ti0.90Zr0.10)O3,"[['CaCO3', 'TiO2', 'BaCO3', 'ZrO2']]"
(Ba0.85Ca0.15)(Ti0.9Zr0.1)O3,"[['TiO2', 'BaCO3', 'CaCO3', 'ZrO2'], ['TiO2', 'BaCO3', 'ZrO2', 'CaCO3']]"
(Ba0.85Pb0.15)TiO3,"[['Pb3O4', 'TiO2', 'BaCO3'], ['Pb3O4', 'TiO2', 'BaCO3']]"
(Ba0.8La0.2)FeO3,"[['BaCO3', 'La2O3', 'Fe2O3']]"
(Ba0.8Sm0.2)(Zr0.52Ti0.48)O3,"[['TiO2', 'BaCO3', 'Sm2O3', 'ZrO2']]"
(Ba0.8Sr0.2)(Ti0.9Zr0.1)O3,"[['TiO2', 'BaCO3', 'SrCO3', 'ZrO2'], ['SrCO3', 'BaCO3', 'TiO2', 'ZrO2'], ['SrCO3', 'BaCO3', 'TiO2', 'ZrO2']]"
(Ba0.8Sr0.2)TiO3,"[['SrCO3', 'BaCO3', 'TiO2'], ['SrCO3', 'TiO2', 'BaCO3']]"
(Ba0.90Ca0.10)TiO3,"[['Ba(CH3COO)2', 'Ca(CH3COO)2', 'C16H36O4Ti']]"
(Ba0.93Ca0.07)(Ti0.95Zr0.05)O3,"[['TiO2', 'BaCO3', 'CaCO3', 'ZrO2']]"
(Ba0.95Ca0.05)(Ti0.88Zr0.12)O3,"[['TiO2', 'BaCO3', 'CaCO3', 'ZrO2']]"
(Ba0.95Pb0.05)(Ti0.99Co0.01)O3,"[['TiO2', 'BaCO3', 'Co(NO3)2', 'PbO']]"
(Ba0.96Ca0.04)(Ti0.8125Y0.0075Zr0.18)0.995O3,"[['Y2O3', 'CaCO3', 'TiO2', 'BaCO3', 'ZrO2']]"
